Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.459470,0.460730,0.451920,0.451920,-6.894227,2581781
2000-01-04,0.453180,0.453180,0.428000,0.430520,-6.567761,7070108
2000-01-05,0.428000,0.443100,0.421700,0.440590,-6.721383,5592535
2000-01-06,0.446880,0.449400,0.440590,0.443100,-6.759675,1167759
2000-01-07,0.458210,0.459470,0.445620,0.459470,-7.009407,10263573
2000-01-10,0.456950,0.458210,0.434290,0.439330,-6.702161,8134597
2000-01-11,0.443100,0.448140,0.438070,0.440590,-6.721383,9961703
2000-01-12,0.434290,0.446880,0.434290,0.441850,-6.740605,5830853
2000-01-13,0.438070,0.444360,0.430520,0.433030,-6.606051,5393937
2000-01-14,0.434290,0.435550,0.425480,0.431780,-6.586982,11701427
2000-01-17,0.434290,0.436810,0.426740,0.426740,-6.510095,7371978
2000-01-18,0.426740,0.430520,0.404080,0.409120,-6.241295,10692546
2000-01-19,0.411630,0.430520,0.411630,0.421700,-6.433208,21774345
2000-01-20,0.434290,0.439330,0.425480,0.433030,-6.606051,15284144
2000-01-21,0.430520,0.459470,0.426740,0.450660,-6.875005,23506124
2000-01-24,0.459470,0.478350,0.454430,0.463250,-7.067070,31926703
2000-01-25,0.451920,0.465760,0.441850,0.446880,-6.817339,10716378
2000-01-26,0.446880,0.456950,0.428000,0.433030,-6.606051,5489264
2000-01-27,0.439330,0.439330,0.428000,0.428000,-6.529317,10621050
2000-01-28,0.429260,0.450660,0.429260,0.443100,-6.759675,7578521
2000-01-31,0.438070,0.444360,0.435550,0.439330,-6.702161,5791134
2000-02-01,0.440590,0.443100,0.433030,0.434290,-6.625274,3741597
2000-02-02,0.435550,0.441850,0.434290,0.440590,-6.721383,3121969
2000-02-03,0.445620,0.446880,0.431780,0.434290,-6.625274,8388803
2000-02-04,0.445620,0.446880,0.422960,0.425480,-6.490874,18580880
2000-02-07,0.431780,0.433030,0.416670,0.421700,-6.433208,12241615
2000-02-08,0.422960,0.451920,0.415410,0.443100,-6.759675,23466405
2000-02-09,0.450660,0.453180,0.435550,0.446880,-6.817339,25857531
2000-02-10,0.433030,0.444360,0.428000,0.436810,-6.663718,9596282
2000-02-11,0.431780,0.431780,0.410380,0.421700,-6.433208,18684152
2000-02-14,0.416670,0.422960,0.397790,0.400310,-6.106896,15252369
2000-02-15,0.401560,0.426740,0.401560,0.415410,-6.337251,15466855
2000-02-16,0.465760,0.465760,0.417930,0.461990,-7.047849,37900547
2000-02-17,0.472060,0.503530,0.470800,0.503530,-7.681559,48442158
2000-02-18,0.495980,0.508560,0.478350,0.483390,-7.374314,18580880
2000-02-21,0.470800,0.487160,0.465760,0.484650,-7.393537,7046277
2000-02-22,0.485900,0.487160,0.454430,0.469540,-7.163028,7078052
2000-02-23,0.484650,0.507300,0.482130,0.490940,-7.489493,26890244
2000-02-24,0.479610,0.492200,0.467020,0.479610,-7.316649,6371041
2000-02-25,0.474580,0.497230,0.467020,0.483390,-7.374314,10343012
2000-02-28,0.473320,0.490940,0.473320,0.483390,-7.374314,5425712
2000-02-29,0.483390,0.514860,0.478350,0.495980,-7.566381,20678081
2000-03-01,0.504790,0.547590,0.490940,0.532480,-8.123202,26175289
2000-03-02,0.542550,0.587870,0.531220,0.561430,-8.564847,39394008
2000-03-03,0.615560,0.616820,0.553880,0.580320,-8.853021,64838455
2000-03-06,0.611790,0.625630,0.591650,0.623120,-9.505954,28582303
2000-03-07,0.626890,0.626890,0.561430,0.579060,-8.833801,20574810
2000-03-08,0.567730,0.610530,0.542550,0.600460,-9.160265,19756584
2000-03-09,0.608010,0.626890,0.605490,0.626890,-9.563464,16396296
2000-03-10,0.628150,0.628150,0.582830,0.616820,-9.409844,12940682
2000-03-13,0.609270,0.609270,0.566470,0.579060,-8.833801,6847678
2000-03-14,0.567730,0.586610,0.555140,0.574020,-8.756914,6013564
2000-03-15,0.567730,0.610530,0.548850,0.610530,-9.313889,13472926
2000-03-16,0.601720,0.610530,0.553880,0.592900,-9.044934,21107054
2000-03-17,0.597940,0.604230,0.570250,0.572760,-8.737691,6609360
2000-03-20,0.574020,0.579060,0.541290,0.560180,-8.545778,10335069
2000-03-21,0.552620,0.557660,0.528700,0.553880,-8.449668,7038333
2000-03-22,0.560180,0.585350,0.545070,0.585350,-8.929757,12416381
2000-03-23,0.579060,0.584090,0.555140,0.566470,-8.641734,9381796
2000-03-24,0.566470,0.597940,0.565210,0.584090,-8.910535,14871059
2000-03-27,0.591650,0.597940,0.562690,0.591650,-9.025866,10740210
2000-03-28,0.591650,0.599200,0.572760,0.581580,-8.872243,4448608
2000-03-29,0.591650,0.591650,0.566470,0.576540,-8.795358,7880390
2000-03-30,0.580320,0.610530,0.579060,0.604230,-9.217779,20829016
2000-03-31,0.609270,0.642000,0.604230,0.642000,-9.793978,49355712
2000-04-03,0.658360,0.678500,0.642000,0.654590,-9.986041,29360810
2000-04-04,0.668430,0.696130,0.648290,0.674730,-10.293285,30361746
2000-04-05,0.677250,0.679760,0.645780,0.658360,-10.043555,14307040
2000-04-06,0.662140,0.665920,0.629410,0.648290,-9.889933,23124815
2000-04-07,0.642000,0.659620,0.629410,0.654590,-9.986041,16706110
2000-04-10,0.660880,0.662140,0.649550,0.662140,-10.101221,6410761
2000-04-11,0.660880,0.662140,0.629410,0.648290,-9.889933,13337879
2000-04-12,0.654590,0.654590,0.636960,0.653330,-9.966821,7022445
2000-04-13,0.648290,0.658360,0.642000,0.655850,-10.005262,7030389
2000-04-14,0.658360,0.658360,0.638220,0.653330,-9.966821,6196275
2000-04-17,0.629410,0.642000,0.616820,0.629410,-9.601909,4345336
2000-04-18,0.630670,0.654590,0.618080,0.635700,-9.697867,9810768
2000-04-19,0.636960,0.653330,0.629410,0.638220,-9.736310,9214973
2000-04-20,0.635700,0.643260,0.619340,0.638220,-9.736310,5759358
2000-04-21,0.638220,0.638220,0.638220,0.638220,-9.736310,0
2000-04-24,0.638220,0.638220,0.638220,0.638220,-9.736310,0
2000-04-25,0.647030,0.653330,0.638220,0.649550,-9.909155,2700940
2000-04-26,0.653330,0.653330,0.647030,0.648290,-9.889933,4909356
2000-04-27,0.647030,0.667180,0.647030,0.664660,-10.139664,7896278
2000-04-28,0.667180,0.687320,0.667180,0.684800,-10.446909,15657510
2000-05-01,0.684800,0.684800,0.684800,0.684800,-10.446909,0
2000-05-02,0.616820,0.691090,0.615560,0.616820,-9.409844,38305688
2000-05-03,0.620600,0.625630,0.579060,0.618080,-9.429068,77628201
2000-05-04,0.618080,0.638220,0.602980,0.629410,-9.601909,31950535
2000-05-05,0.635700,0.636960,0.623120,0.629410,-9.601909,8627121
2000-05-08,0.638220,0.654590,0.626890,0.648290,-9.889933,28955669
2000-05-09,0.647030,0.654590,0.636960,0.640740,-9.774753,6553752
2000-05-10,0.643260,0.644520,0.631930,0.639480,-9.755533,5616367
2000-05-11,0.636960,0.644520,0.620600,0.642000,-9.793978,11312173
2000-05-12,0.635700,0.640740,0.618080,0.628150,-9.582687,9731329
2000-05-15,0.631930,0.638220,0.618080,0.618080,-9.429068,7308427
2000-05-16,0.626890,0.635700,0.626890,0.634450,-9.678799,4988796
2000-05-17,0.636960,0.660880,0.631930,0.655850,-10.005262,19708920
2000-05-18,0.660880,0.698650,0.660880,0.687320,-10.485353,26882300
2000-05-19,0.686060,0.696130,0.664660,0.684800,-10.446909,23061264
2000-05-22,0.667180,0.686060,0.664660,0.667180,-11.007530,11272454
2000-05-23,0.679760,0.698650,0.667180,0.684800,-11.298237,10835537
2000-05-24,0.674730,0.681020,0.672210,0.673470,-11.111304,6021508
2000-05-25,0.677250,0.683540,0.673470,0.673470,-11.111304,5179450
2000-05-26,0.674730,0.675990,0.654590,0.673470,-11.111304,5727582
2000-05-29,0.664660,0.667180,0.643260,0.643260,-10.612885,5656087
2000-05-30,0.648290,0.672210,0.647030,0.665920,-10.986742,10811705
2000-05-31,0.675990,0.686060,0.648290,0.674730,-11.132095,10787873
2000-06-01,0.679760,0.712490,0.667180,0.706200,-11.651303,14124329
2000-06-02,0.711230,0.716270,0.682280,0.692350,-11.422798,12193951
2000-06-05,0.698650,0.703680,0.682280,0.692350,-11.422798,2232248
2000-06-06,0.693610,0.712490,0.691090,0.712490,-11.755081,7038333
2000-06-07,0.715010,0.716270,0.692350,0.698650,-11.526740,4138794
2000-06-08,0.698650,0.711230,0.692350,0.702420,-11.588941,3439727
2000-06-09,0.699900,0.707460,0.686060,0.696130,-11.485165,5314497
2000-06-12,0.699900,0.713750,0.694870,0.711230,-11.734292,8118709
2000-06-13,0.711230,0.717530,0.704940,0.708720,-11.692882,8627121
2000-06-14,0.709970,0.711230,0.693610,0.693610,-11.443586,7165436
2000-06-15,0.694870,0.703680,0.672210,0.684800,-11.298237,6013564
